observation_id,merchant_id,timestamp,hour,zomato_orders_count,other_platform_orders_count,dine_in_orders_count,total_kitchen_load,kitchen_capacity,utilization_rate,observable_load_ratio
OBS00000025,M000641,2026-01-08 08:56:00,8,24,23,0,47,39,1.0,0.511
OBS00000026,M000347,2026-01-29 09:21:00,9,1,1,0,2,49,0.041,0.5
OBS00000027,M000563,2026-01-28 09:50:00,9,2,0,0,2,23,0.087,1.0
OBS00000028,M000674,2026-01-10 18:08:00,18,6,7,0,13,23,0.565,0.462
OBS00000029,M000862,2026-02-25 21:36:00,21,0,0,0,0,35,0.0,0.0
OBS00000030,M000022,2026-01-30 01:08:00,1,0,0,0,0,30,0.0,0.0
OBS00000031,M000441,2026-02-15 03:46:00,3,10,8,0,18,46,0.391,0.556
OBS00000032,M000066,2026-01-15 01:14:00,1,1,0,0,1,16,0.062,1.0
OBS00000033,M000512,2026-01-05 09:25:00,9,1,0,0,1,29,0.034,1.0
OBS00000034,M000920,2026-02-18 07:37:00,7,33,26,0,59,26,1.0,0.559
OBS00000035,M000101,2026-02-19 07:24:00,7,1,2,0,3,40,0.075,0.333
OBS00000036,M000743,2026-01-14 14:18:00,14,2,2,0,4,34,0.118,0.5
OBS00000037,M000135,2026-02-14 06:43:00,6,1,0,0,1,15,0.067,1.0
OBS00000038,M000013,2026-02-04 21:16:00,21,12,11,0,23,17,1.0,0.522
OBS00000039,M000746,2026-02-24 10:42:00,10,9,9,0,18,48,0.375,0.5
OBS00000040,M000806,2026-01-31 03:43:00,3,2,0,0,2,24,0.083,1.0
OBS00000041,M000116,2026-01-22 11:43:00,11,1,0,0,1,13,0.077,1.0
OBS00000042,M000393,2026-02-15 18:45:00,18,0,0,0,0,33,0.0,0.0
OBS00000043,M000211,2026-02-28 17:31:00,17,0,0,0,0,37,0.0,0.0
OBS00000044,M000124,2026-02-14 02:45:00,2,2,2,0,4,7,0.571,0.5
OBS00000045,M000894,2026-02-04 02:49:00,2,2,0,0,2,46,0.043,1.0
OBS00000046,M000845,2026-02-16 09:44:00,9,0,0,0,0,44,0.0,0.0
OBS00000047,M000210,2026-02-13 21:54:00,21,7,0,0,7,15,0.467,1.0
OBS00000048,M000674,2026-01-17 15:58:00,15,11,4,0,15,23,0.652,0.733
OBS00000049,M000159,2026-01-27 07:31:00,7,3,0,0,3,7,0.429,1.0
OBS00000050,M000282,2026-02-11 13:20:00,13,3,2,2,7,31,0.226,0.429
OBS00000051,M000890,2026-01-15 10:28:00,10,9,5,0,14,33,0.424,0.643
OBS00000052,M000892,2026-01-28 05:37:00,5,6,6,0,12,10,1.0,0.5
OBS00000053,M000667,2026-01-15 21:11:00,21,68,0,0,68,28,1.0,1.0
OBS00000054,M000308,2026-02-06 16:26:00,16,4,2,0,6,24,0.25,0.667
OBS00000055,M000088,2026-01-10 00:57:00,0,0,0,0,0,35,0.0,0.0
OBS00000056,M000155,2026-02-10 18:37:00,18,2,0,0,2,27,0.074,1.0
OBS00000057,M000595,2026-02-07 14:50:00,14,0,0,0,0,43,0.0,0.0
OBS00000058,M000160,2026-01-11 13:19:00,13,8,8,6,22,42,0.524,0.364
OBS00000059,M000089,2026-02-14 01:07:00,1,4,0,0,4,47,0.085,1.0
OBS00000060,M000174,2026-02-04 04:43:00,4,6,0,0,6,14,0.429,1.0
OBS00000061,M000124,2026-02-15 18:15:00,18,0,0,0,0,7,0.0,0.0
OBS00000062,M000938,2026-02-06 00:40:00,0,0,0,0,0,23,0.0,0.0
OBS00000063,M000184,2026-01-12 07:36:00,7,0,0,0,0,41,0.0,0.0
OBS00000064,M000747,2026-02-05 11:30:00,11,3,0,0,3,16,0.188,1.0
OBS00000065,M000810,2026-01-01 05:33:00,5,1,0,0,1,8,0.125,1.0
OBS00000066,M000470,2026-01-10 02:33:00,2,1,2,0,3,44,0.068,0.333
OBS00000067,M000680,2026-01-08 11:29:00,11,0,0,0,0,20,0.0,0.0
OBS00000068,M000821,2026-02-21 04:50:00,4,0,0,0,0,39,0.0,0.0
OBS00000069,M000305,2026-01-04 21:50:00,21,31,24,0,55,21,1.0,0.564
OBS00000070,M000296,2026-02-04 16:19:00,16,0,0,0,0,5,0.0,0.0
OBS00000071,M000369,2026-02-08 08:53:00,8,0,0,0,0,23,0.0,0.0
OBS00000072,M000829,2026-01-30 08:43:00,8,2,0,0,2,48,0.042,1.0
OBS00000073,M000176,2026-02-01 01:42:00,1,6,4,0,10,19,0.526,0.6
OBS00000074,M000784,2026-02-06 17:57:00,17,0,0,0,0,42,0.0,0.0
OBS00000075,M000890,2026-01-13 15:22:00,15,7,1,0,8,33,0.242,0.875
OBS00000076,M000845,2026-01-31 06:38:00,6,1,0,0,1,44,0.023,1.0
OBS00000077,M000313,2026-02-02 14:16:00,14,18,0,0,18,44,0.409,1.0
OBS00000078,M000678,2026-01-26 02:47:00,2,5,0,0,5,7,0.714,1.0
OBS00000079,M000090,2026-01-09 20:30:00,20,16,13,20,49,36,1.0,0.327
OBS00000080,M000682,2026-02-05 17:32:00,17,2,3,0,5,39,0.128,0.4
OBS00000081,M000187,2026-02-11 21:46:00,21,8,0,0,8,37,0.216,1.0
OBS00000082,M000474,2026-01-20 06:03:00,6,1,1,0,2,41,0.049,0.5
OBS00000083,M000650,2026-02-22 14:42:00,14,1,3,0,4,12,0.333,0.25
OBS00000084,M000984,2026-01-02 05:53:00,5,0,0,0,0,6,0.0,0.0
OBS00000085,M000727,2026-02-12 23:19:00,23,1,0,0,1,44,0.023,1.0
OBS00000086,M000295,2026-01-09 11:05:00,11,2,1,0,3,23,0.13,0.667
OBS00000087,M000356,2026-01-11 08:49:00,8,0,0,0,0,21,0.0,0.0
OBS00000088,M000651,2026-02-28 20:45:00,20,10,9,0,19,28,0.679,0.526
OBS00000089,M000950,2026-02-22 09:00:00,9,7,2,0,9,34,0.265,0.778
OBS00000090,M000024,2026-02-01 22:36:00,22,2,1,0,3,11,0.273,0.667
OBS00000091,M000679,2026-01-19 07:20:00,7,1,0,0,1,31,0.032,1.0
OBS00000092,M000339,2026-01-02 15:24:00,15,0,0,0,0,30,0.0,0.0
OBS00000093,M000837,2026-01-31 05:28:00,5,2,0,0,2,36,0.056,1.0
OBS00000094,M000556,2026-02-04 01:24:00,1,2,0,0,2,17,0.118,1.0
OBS00000095,M000993,2026-02-22 18:39:00,18,43,33,0,76,17,1.0,0.566
OBS00000096,M000685,2026-01-30 06:23:00,6,2,0,0,2,48,0.042,1.0
OBS00000097,M000817,2026-01-16 00:45:00,0,0,0,0,0,19,0.0,0.0
OBS00000098,M000240,2026-01-25 08:56:00,8,0,0,0,0,36,0.0,0.0
OBS00000099,M000961,2026-01-13 15:03:00,15,4,4,0,8,25,0.32,0.5
OBS00000100,M000638,2026-03-01 20:27:00,20,7,0,13,20,45,0.444,0.35
OBS00000101,M000270,2026-02-23 10:35:00,10,3,2,0,5,25,0.2,0.6
OBS00000102,M000915,2026-02-21 14:12:00,14,0,0,0,0,9,0.0,0.0
OBS00000103,M000707,2026-01-28 00:13:00,0,0,0,0,0,19,0.0,0.0
OBS00000104,M000374,2026-02-01 17:48:00,17,0,0,0,0,38,0.0,0.0
OBS00000105,M000897,2026-02-26 01:18:00,1,0,0,0,0,44,0.0,0.0
OBS00000106,M000968,2026-02-11 10:58:00,10,1,2,0,3,46,0.065,0.333
OBS00000107,M000081,2026-02-27 11:21:00,11,1,1,0,2,7,0.286,0.5
OBS00000108,M000398,2026-01-11 18:17:00,18,2,1,0,3,40,0.075,0.667
OBS00000109,M000602,2026-02-20 19:12:00,19,4,4,9,17,25,0.68,0.235
OBS00000110,M000060,2026-01-14 01:33:00,1,0,0,0,0,22,0.0,0.0
OBS00000111,M000856,2026-01-30 15:28:00,15,3,2,0,5,35,0.143,0.6
OBS00000112,M000679,2026-01-07 03:34:00,3,1,0,0,1,31,0.032,1.0
OBS00000113,M000156,2026-02-16 21:56:00,21,50,33,0,83,22,1.0,0.602
OBS00000114,M000702,2026-02-01 19:45:00,19,1,0,1,2,24,0.083,0.5
OBS00000115,M000297,2026-01-03 12:42:00,12,20,11,34,65,11,1.0,0.308
OBS00000116,M000297,2026-01-17 14:48:00,14,13,6,0,19,11,1.0,0.684
OBS00000117,M000512,2026-02-13 18:26:00,18,0,0,0,0,29,0.0,0.0
OBS00000118,M000359,2026-01-21 18:09:00,18,14,11,0,25,19,1.0,0.56
OBS00000119,M000018,2026-02-23 19:04:00,19,1,0,1,2,21,0.095,0.5
OBS00000120,M000253,2026-01-29 17:13:00,17,0,0,0,0,8,0.0,0.0
OBS00000121,M000335,2026-02-26 02:55:00,2,0,0,0,0,24,0.0,0.0
OBS00000122,M000901,2026-02-20 17:51:00,17,1,0,0,1,14,0.071,1.0
OBS00000123,M000522,2026-02-20 06:45:00,6,2,1,0,3,46,0.065,0.667
OBS00000124,M000630,2026-01-11 10:27:00,10,1,0,0,1,8,0.125,1.0
OBS00000125,M000803,2026-01-11 06:30:00,6,5,0,0,5,30,0.167,1.0
OBS00000126,M000905,2026-01-01 07:41:00,7,0,0,0,0,46,0.0,0.0
OBS00000127,M000864,2026-02-07 13:54:00,13,2,0,0,2,43,0.047,1.0
OBS00000128,M000859,2026-01-19 04:10:00,4,4,5,0,9,28,0.321,0.444
OBS00000129,M000697,2026-01-25 04:26:00,4,1,1,0,2,6,0.333,0.5
OBS00000130,M000743,2026-02-16 16:18:00,16,1,1,0,2,34,0.059,0.5
OBS00000131,M000137,2026-02-15 23:23:00,23,2,0,0,2,12,0.167,1.0
OBS00000132,M000901,2026-02-06 10:11:00,10,1,0,0,1,14,0.071,1.0
OBS00000133,M000962,2026-01-03 01:42:00,1,0,0,0,0,26,0.0,0.0
OBS00000134,M000669,2026-01-08 00:49:00,0,0,0,0,0,13,0.0,0.0
OBS00000135,M000771,2026-02-24 07:48:00,7,3,5,0,8,19,0.421,0.375
OBS00000136,M000057,2026-02-01 22:43:00,22,5,0,0,5,15,0.333,1.0
OBS00000137,M000235,2026-01-20 17:19:00,17,0,0,0,0,26,0.0,0.0
OBS00000138,M000912,2026-02-12 07:45:00,7,0,0,0,0,21,0.0,0.0
OBS00000139,M000358,2026-02-21 07:31:00,7,1,0,0,1,12,0.083,1.0
OBS00000140,M000535,2026-02-16 20:13:00,20,3,2,4,9,49,0.184,0.333
OBS00000141,M000790,2026-01-26 03:56:00,3,0,0,0,0,18,0.0,0.0
OBS00000142,M000353,2026-01-01 14:16:00,14,0,0,0,0,24,0.0,0.0
OBS00000143,M000516,2026-01-13 02:15:00,2,0,0,0,0,24,0.0,0.0
OBS00000144,M000507,2026-02-24 04:51:00,4,1,0,0,1,7,0.143,1.0
OBS00000145,M000300,2026-02-04 12:31:00,12,40,38,39,117,19,1.0,0.342
OBS00000146,M000840,2026-01-09 15:05:00,15,0,0,0,0,10,0.0,0.0
OBS00000147,M000774,2026-01-31 20:18:00,20,10,7,10,27,42,0.643,0.37
OBS00000148,M000361,2026-01-26 16:37:00,16,1,0,0,1,34,0.029,1.0
OBS00000149,M000610,2026-02-12 23:25:00,23,2,1,0,3,49,0.061,0.667
OBS00000150,M000176,2026-01-16 08:02:00,8,1,0,0,1,19,0.053,1.0
OBS00000151,M000034,2026-01-04 17:10:00,17,3,1,0,4,36,0.111,0.75
OBS00000152,M000839,2026-01-13 20:21:00,20,0,0,0,0,17,0.0,0.0
OBS00000153,M000058,2026-01-14 10:25:00,10,1,0,0,1,34,0.029,1.0
OBS00000154,M000488,2026-02-06 14:59:00,14,0,0,0,0,42,0.0,0.0
OBS00000155,M000072,2026-01-19 22:17:00,22,0,0,0,0,22,0.0,0.0
OBS00000156,M000570,2026-02-15 03:41:00,3,7,7,0,14,34,0.412,0.5
OBS00000157,M000196,2026-02-24 01:10:00,1,1,1,0,2,39,0.051,0.5
OBS00000158,M000045,2026-01-13 16:11:00,16,4,3,0,7,48,0.146,0.571
OBS00000159,M000110,2026-02-09 10:57:00,10,0,0,0,0,41,0.0,0.0
OBS00000160,M000444,2026-01-30 07:17:00,7,4,6,0,10,43,0.233,0.4
OBS00000161,M000628,2026-01-20 02:50:00,2,0,0,0,0,42,0.0,0.0
OBS00000162,M000057,2026-02-07 07:44:00,7,0,0,0,0,15,0.0,0.0
OBS00000163,M000337,2026-02-01 07:28:00,7,1,0,0,1,33,0.03,1.0
OBS00000164,M000380,2026-02-05 00:07:00,0,0,0,0,0,19,0.0,0.0
OBS00000165,M000623,2026-01-28 23:15:00,23,0,0,0,0,10,0.0,0.0
OBS00000166,M000819,2026-01-26 23:45:00,23,0,0,0,0,47,0.0,0.0
OBS00000167,M000304,2026-02-04 02:01:00,2,1,0,0,1,26,0.038,1.0
OBS00000168,M000226,2026-02-14 03:26:00,3,1,0,0,1,19,0.053,1.0
OBS00000169,M000706,2026-01-26 20:05:00,20,3,5,0,8,42,0.19,0.375
OBS00000170,M000468,2026-01-02 11:08:00,11,0,0,0,0,29,0.0,0.0
OBS00000171,M000482,2026-01-25 11:08:00,11,1,1,0,2,43,0.047,0.5
OBS00000172,M000312,2026-01-07 22:38:00,22,0,0,0,0,16,0.0,0.0
OBS00000173,M000342,2026-01-23 06:31:00,6,0,0,0,0,24,0.0,0.0
OBS00000174,M000501,2026-02-08 18:35:00,18,0,0,0,0,12,0.0,0.0
OBS00000175,M000542,2026-02-25 05:26:00,5,0,0,0,0,41,0.0,0.0
OBS00000176,M000219,2026-02-27 15:38:00,15,1,1,0,2,36,0.056,0.5
OBS00000177,M000104,2026-02-01 03:42:00,3,2,2,0,4,41,0.098,0.5
OBS00000178,M000455,2026-02-02 10:18:00,10,3,1,0,4,17,0.235,0.75
OBS00000179,M000973,2026-02-22 22:30:00,22,4,2,0,6,39,0.154,0.667
OBS00000180,M000957,2026-01-04 16:30:00,16,0,0,0,0,39,0.0,0.0
OBS00000181,M000572,2026-02-10 15:16:00,15,0,0,0,0,13,0.0,0.0
OBS00000182,M000119,2026-02-26 14:51:00,14,5,7,0,12,33,0.364,0.417
OBS00000183,M000770,2026-01-09 22:23:00,22,3,0,0,3,25,0.12,1.0
OBS00000184,M000671,2026-02-13 01:36:00,1,1,0,0,1,24,0.042,1.0
OBS00000185,M000742,2026-01-24 11:39:00,11,0,0,0,0,44,0.0,0.0
OBS00000186,M000551,2026-01-29 19:06:00,19,0,0,0,0,17,0.0,0.0
OBS00000187,M000983,2026-02-19 05:52:00,5,1,0,0,1,43,0.023,1.0
OBS00000188,M000912,2026-01-02 08:20:00,8,0,0,0,0,21,0.0,0.0
OBS00000189,M000790,2026-01-29 00:01:00,0,2,0,0,2,18,0.111,1.0
OBS00000190,M000393,2026-02-11 06:16:00,6,5,3,0,8,33,0.242,0.625
OBS00000191,M000656,2026-02-06 03:14:00,3,1,0,0,1,31,0.032,1.0
OBS00000192,M000786,2026-03-01 16:38:00,16,0,0,0,0,18,0.0,0.0
OBS00000193,M000688,2026-01-20 01:25:00,1,2,0,0,2,27,0.074,1.0
OBS00000194,M000303,2026-01-07 10:16:00,10,5,3,0,8,26,0.308,0.625
OBS00000195,M000280,2026-02-27 18:03:00,18,3,3,0,6,15,0.4,0.5
OBS00000196,M000985,2026-02-07 15:00:00,15,6,0,0,6,30,0.2,1.0
OBS00000197,M000478,2026-02-18 00:15:00,0,1,0,0,1,30,0.033,1.0
OBS00000198,M000210,2026-01-24 01:26:00,1,3,0,0,3,15,0.2,1.0
OBS00000199,M000162,2026-02-05 13:50:00,13,8,0,14,22,34,0.647,0.364
OBS00000200,M000355,2026-01-17 13:15:00,13,0,0,0,0,46,0.0,0.0
OBS00000201,M000105,2026-02-08 09:41:00,9,0,0,0,0,49,0.0,0.0
OBS00000202,M000692,2026-01-02 13:46:00,13,0,0,0,0,27,0.0,0.0
OBS00000203,M000760,2026-02-14 11:43:00,11,31,20,0,51,29,1.0,0.608
OBS00000204,M000975,2026-02-21 09:10:00,9,4,6,0,10,20,0.5,0.4
OBS00000205,M000760,2026-02-02 10:01:00,10,18,16,0,34,29,1.0,0.529
OBS00000206,M000508,2026-02-02 15:20:00,15,0,0,0,0,16,0.0,0.0
OBS00000207,M000727,2026-01-15 05:25:00,5,3,1,0,4,44,0.091,0.75
OBS00000208,M000953,2026-01-22 01:21:00,1,2,2,0,4,18,0.222,0.5
OBS00000209,M000041,2026-02-07 04:27:00,4,3,1,0,4,33,0.121,0.75
OBS00000210,M000514,2026-02-10 15:18:00,15,0,0,0,0,35,0.0,0.0
OBS00000211,M000877,2026-01-06 07:56:00,7,1,0,0,1,22,0.045,1.0
OBS00000212,M000771,2026-02-12 09:53:00,9,3,3,0,6,19,0.316,0.5
OBS00000213,M000866,2026-01-22 01:12:00,1,3,0,0,3,6,0.5,1.0
OBS00000214,M000411,2026-02-17 19:21:00,19,7,11,7,25,26,0.962,0.28
OBS00000215,M000658,2026-02-06 05:28:00,5,2,0,0,2,20,0.1,1.0
OBS00000216,M000470,2026-03-01 03:57:00,3,1,2,0,3,44,0.068,0.333
OBS00000217,M000869,2026-02-07 23:21:00,23,3,0,0,3,48,0.062,1.0
OBS00000218,M000972,2026-02-27 17:35:00,17,0,0,0,0,22,0.0,0.0
OBS00000219,M000368,2026-02-11 15:00:00,15,0,0,0,0,33,0.0,0.0
OBS00000220,M000550,2026-01-27 01:33:00,1,0,0,0,0,43,0.0,0.0
OBS00000221,M000500,2026-01-26 23:25:00,23,0,0,0,0,12,0.0,0.0
OBS00000222,M000711,2026-02-13 13:54:00,13,18,17,0,35,28,1.0,0.514
OBS00000223,M000170,2026-01-03 15:35:00,15,0,0,0,0,31,0.0,0.0
OBS00000224,M000445,2026-02-07 23:35:00,23,0,0,0,0,17,0.0,0.0
OBS00000225,M000974,2026-01-03 02:42:00,2,2,0,0,2,30,0.067,1.0
OBS00000226,M000812,2026-03-01 01:15:00,1,6,0,0,6,18,0.333,1.0
OBS00000227,M000621,2026-01-01 12:13:00,12,0,0,0,0,32,0.0,0.0
OBS00000228,M000757,2026-02-17 04:14:00,4,1,2,0,3,25,0.12,0.333
OBS00000229,M000569,2026-01-29 19:55:00,19,128,104,0,232,27,1.0,0.552
OBS00000230,M000833,2026-01-23 19:55:00,19,5,0,0,5,11,0.455,1.0
OBS00000231,M000963,2026-02-02 20:25:00,20,1,2,0,3,49,0.061,0.333
OBS00000232,M000371,2026-01-02 02:08:00,2,0,0,0,0,38,0.0,0.0
OBS00000233,M000887,2026-01-11 06:41:00,6,2,2,0,4,10,0.4,0.5
OBS00000234,M000284,2026-01-02 11:02:00,11,1,0,0,1,27,0.037,1.0
OBS00000235,M000472,2026-01-17 09:26:00,9,0,0,0,0,49,0.0,0.0
OBS00000236,M000919,2026-01-05 04:08:00,4,5,2,0,7,39,0.179,0.714
OBS00000237,M000297,2026-02-13 19:22:00,19,15,15,18,48,11,1.0,0.312
OBS00000238,M000360,2026-01-11 10:51:00,10,25,19,0,44,35,1.0,0.568
OBS00000239,M000942,2026-01-26 20:08:00,20,26,21,0,47,29,1.0,0.553
OBS00000240,M000593,2026-01-11 08:45:00,8,1,0,0,1,46,0.022,1.0
OBS00000241,M000894,2026-02-15 11:59:00,11,3,0,0,3,46,0.065,1.0
OBS00000242,M000627,2026-02-03 05:25:00,5,30,0,0,30,6,1.0,1.0
OBS00000243,M000843,2026-01-30 04:46:00,4,1,1,0,2,19,0.105,0.5
OBS00000244,M000314,2026-01-12 20:53:00,20,0,0,0,0,24,0.0,0.0
OBS00000245,M000331,2026-02-16 16:10:00,16,0,0,0,0,48,0.0,0.0
OBS00000246,M000477,2026-01-19 21:36:00,21,4,3,0,7,17,0.412,0.571
OBS00000247,M000976,2026-01-26 07:40:00,7,2,2,0,4,10,0.4,0.5
OBS00000248,M000009,2026-02-03 20:05:00,20,0,0,0,0,17,0.0,0.0
OBS00000249,M000010,2026-02-20 19:54:00,19,0,0,0,0,5,0.0,0.0
OBS00000250,M000608,2026-01-26 15:29:00,15,1,1,0,2,42,0.048,0.5
OBS00000251,M000016,2026-01-20 03:43:00,3,2,2,0,4,28,0.143,0.5
OBS00000252,M000013,2026-01-15 16:35:00,16,3,3,0,6,17,0.353,0.5
OBS00000253,M000947,2026-01-15 04:42:00,4,7,5,0,12,14,0.857,0.583
OBS00000254,M000966,2026-02-05 02:02:00,2,0,0,0,0,6,0.0,0.0
OBS00000255,M000404,2026-02-13 11:30:00,11,10,0,0,10,26,0.385,1.0
OBS00000256,M000383,2026-01-17 21:35:00,21,143,105,0,248,7,1.0,0.577
OBS00000257,M000014,2026-02-04 05:30:00,5,0,0,0,0,33,0.0,0.0
OBS00000258,M000975,2026-01-25 20:13:00,20,7,10,8,25,20,1.0,0.28
OBS00000259,M000189,2026-02-15 15:21:00,15,0,0,0,0,12,0.0,0.0
OBS00000260,M000800,2026-01-26 13:35:00,13,7,6,6,19,27,0.704,0.368
OBS00000261,M000200,2026-02-12 02:44:00,2,0,0,0,0,29,0.0,0.0
OBS00000262,M000384,2026-01-24 19:48:00,19,0,0,0,0,41,0.0,0.0
OBS00000263,M000333,2026-02-23 16:21:00,16,6,0,0,6,47,0.128,1.0
OBS00000264,M000571,2026-01-25 19:24:00,19,3,0,2,5,37,0.135,0.6
OBS00000265,M000145,2026-03-01 00:35:00,0,3,0,0,3,14,0.214,1.0
OBS00000266,M000370,2026-01-28 18:36:00,18,3,1,0,4,15,0.267,0.75
OBS00000267,M000336,2026-01-05 00:00:00,0,3,0,0,3,12,0.25,1.0
OBS00000268,M000324,2026-01-30 02:18:00,2,13,11,0,24,41,0.585,0.542
OBS00000269,M000932,2026-01-12 21:09:00,21,2,4,0,6,37,0.162,0.333
OBS00000270,M000873,2026-01-24 05:29:00,5,0,0,0,0,39,0.0,0.0
OBS00000271,M000458,2026-02-19 15:29:00,15,4,2,0,6,16,0.375,0.667
OBS00000272,M000078,2026-01-03 13:47:00,13,5,0,5,10,33,0.303,0.5
OBS00000273,M000319,2026-02-08 15:11:00,15,0,0,0,0,30,0.0,0.0
OBS00000274,M000012,2026-01-10 21:14:00,21,11,5,0,16,33,0.485,0.688
OBS00000275,M000629,2026-01-03 08:43:00,8,1,0,0,1,41,0.024,1.0
OBS00000276,M000455,2026-01-28 14:04:00,14,4,2,0,6,17,0.353,0.667
OBS00000277,M000533,2026-01-24 02:22:00,2,1,3,0,4,12,0.333,0.25
OBS00000278,M000079,2026-01-31 08:23:00,8,3,3,0,6,46,0.13,0.5
OBS00000279,M000010,2026-01-09 20:18:00,20,0,0,0,0,5,0.0,0.0
OBS00000280,M000244,2026-01-29 22:17:00,22,0,0,0,0,47,0.0,0.0
OBS00000281,M000683,2026-01-15 18:06:00,18,0,0,0,0,16,0.0,0.0
OBS00000282,M000391,2026-01-30 10:48:00,10,1,0,0,1,15,0.067,1.0
OBS00000283,M000382,2026-02-19 13:14:00,13,2,3,2,7,24,0.292,0.286
OBS00000284,M000855,2026-02-07 05:48:00,5,0,0,0,0,6,0.0,0.0
OBS00000285,M000237,2026-02-23 00:18:00,0,3,3,0,6,35,0.171,0.5
OBS00000286,M000071,2026-02-03 12:51:00,12,11,9,0,20,49,0.408,0.55
OBS00000287,M000402,2026-01-03 02:26:00,2,2,2,0,4,41,0.098,0.5
OBS00000288,M000337,2026-02-21 10:03:00,10,0,0,0,0,33,0.0,0.0
OBS00000289,M000353,2026-02-06 03:48:00,3,3,2,0,5,24,0.208,0.6
OBS00000290,M000282,2026-01-30 12:35:00,12,2,1,4,7,31,0.226,0.286
OBS00000291,M000651,2026-01-06 02:04:00,2,5,4,0,9,28,0.321,0.556
OBS00000292,M000557,2026-02-06 23:09:00,23,0,0,0,0,47,0.0,0.0
OBS00000293,M000227,2026-02-12 19:00:00,19,2,2,0,4,20,0.2,0.5
OBS00000294,M000996,2026-01-19 08:19:00,8,0,0,0,0,21,0.0,0.0
OBS00000295,M000636,2026-01-26 23:47:00,23,4,0,0,4,36,0.111,1.0
OBS00000296,M000288,2026-02-05 06:27:00,6,1,1,0,2,9,0.222,0.5
OBS00000297,M000576,2026-02-03 00:14:00,0,6,6,0,12,15,0.8,0.5
OBS00000298,M000420,2026-01-18 12:59:00,12,0,0,0,0,44,0.0,0.0
OBS00000299,M000685,2026-01-31 20:18:00,20,3,0,3,6,48,0.125,0.5
OBS00000300,M000768,2026-01-16 10:13:00,10,0,0,0,0,46,0.0,0.0
OBS00000301,M000758,2026-02-09 19:32:00,19,14,0,21,35,38,0.921,0.4
OBS00000302,M000543,2026-02-26 07:48:00,7,5,5,0,10,32,0.312,0.5
OBS00000303,M000911,2026-02-26 03:34:00,3,8,3,0,11,8,1.0,0.727
OBS00000304,M000756,2026-02-25 07:41:00,7,0,0,0,0,35,0.0,0.0
OBS00000305,M000429,2026-02-13 04:49:00,4,0,0,0,0,46,0.0,0.0
OBS00000306,M000448,2026-02-15 19:11:00,19,1,0,2,3,13,0.231,0.333
OBS00000307,M000795,2026-03-01 18:31:00,18,1,0,0,1,35,0.029,1.0
OBS00000308,M000575,2026-01-16 12:29:00,12,0,0,0,0,39,0.0,0.0
OBS00000309,M000200,2026-01-13 21:31:00,21,7,6,0,13,29,0.448,0.538
OBS00000310,M000409,2026-01-30 03:17:00,3,1,1,0,2,28,0.071,0.5
OBS00000311,M000666,2026-02-11 11:42:00,11,0,0,0,0,7,0.0,0.0
OBS00000312,M000803,2026-01-28 11:11:00,11,1,0,0,1,30,0.033,1.0
OBS00000313,M000393,2026-02-01 16:09:00,16,4,3,0,7,33,0.212,0.571
